,PassengerId,Survived,SibSp,Parch,Fare,HasCabin,HasAge,NewAge,IsMale,EmbarkedQ,EmbarkedS,IsFirstClass,IsSecondClass,IsTicketNumber
28,29,1,0,0,7.8792,1,False,-1.0,0,1,0,0,0,1
29,30,0,0,0,7.8958,1,False,-1.0,1,0,1,0,0,1
30,31,0,0,0,27.7208,1,True,40.0,1,0,0,1,0,0
31,32,1,1,0,146.5208,0,False,-1.0,0,0,0,1,0,0
32,33,1,0,0,7.75,1,False,-1.0,0,1,0,0,0,1
33,34,0,0,0,10.5,1,True,66.0,1,0,1,0,1,0
34,35,0,1,0,82.1708,1,True,28.0,1,0,0,1,0,0
35,36,0,1,0,52.0,1,True,42.0,1,0,1,1,0,1
36,37,1,0,0,7.2292,1,False,-1.0,1,0,0,0,0,1
37,38,0,0,0,8.05,1,True,21.0,1,0,1,0,0,0
38,39,0,2,0,18.0,1,True,18.0,0,0,1,0,0,1
39,40,1,1,0,11.2417,1,True,14.0,0,0,0,0,0,1
40,41,0,1,0,9.475,1,True,40.0,0,0,1,0,0,1
41,42,0,1,0,21.0,1,True,27.0,0,0,1,0,1,1
42,43,0,0,0,7.8958,1,False,-1.0,1,0,0,0,0,1
43,44,1,1,2,41.5792,1,True,3.0,0,0,0,0,1,0
44,45,1,0,0,7.8792,1,True,19.0,0,1,0,0,0,1
45,46,0,0,0,8.05,1,False,-1.0,1,0,1,0,0,0
46,47,0,1,0,15.5,1,False,-1.0,1,1,0,0,0,1
47,48,1,0,0,7.75,1,False,-1.0,0,1,0,0,0,1
48,49,0,2,0,21.6792,1,False,-1.0,1,0,0,0,0,1
49,50,0,1,0,17.8,1,True,18.0,0,0,1,0,0,1
50,51,0,4,1,39.6875,1,True,7.0,1,0,1,0,0,1
51,52,0,0,0,7.8,1,True,21.0,1,0,1,0,0,0
52,53,1,1,0,76.7292,0,True,49.0,0,0,0,1,0,0
53,54,1,1,0,26.0,1,True,29.0,0,0,1,0,1,1
54,55,0,0,1,61.9792,0,True,65.0,1,0,0,1,0,1
55,56,1,0,0,35.5,0,False,-1.0,1,0,1,1,0,1
56,57,1,0,0,10.5,1,True,21.0,0,0,1,0,1,0
57,58,0,0,0,7.2292,1,True,28.5,1,0,0,0,0,1
58,59,1,1,2,27.75,1,True,5.0,0,0,1,0,1,0
59,60,0,5,2,46.9,1,True,11.0,1,0,1,0,0,0
60,61,0,0,0,7.2292,1,True,22.0,1,0,0,0,0,1
62,63,0,1,0,83.475,0,True,45.0,1,0,1,1,0,1
63,64,0,3,2,27.9,1,True,4.0,1,0,1,0,0,1
64,65,0,0,0,27.7208,1,False,-1.0,1,0,0,1,0,0
65,66,1,1,1,15.2458,1,False,-1.0,1,0,0,0,0,1
66,67,1,0,0,10.5,0,True,29.0,0,0,1,0,1,0
67,68,0,0,0,8.1583,1,True,19.0,1,0,1,0,0,0
68,69,1,4,2,7.925,1,True,17.0,0,0,1,0,0,1
69,70,0,2,0,8.6625,1,True,26.0,1,0,1,0,0,1
70,71,0,0,0,10.5,1,True,32.0,1,0,1,0,1,0
71,72,0,5,2,46.9,1,True,16.0,0,0,1,0,0,0
72,73,0,0,0,73.5,1,True,21.0,1,0,1,0,1,0
73,74,0,1,0,14.4542,1,True,26.0,1,0,0,0,0,1
74,75,1,0,0,56.4958,1,True,32.0,1,0,1,0,0,1
75,76,0,0,0,7.65,0,True,25.0,1,0,1,0,0,1
76,77,0,0,0,7.8958,1,False,-1.0,1,0,1,0,0,1
77,78,0,0,0,8.05,1,False,-1.0,1,0,1,0,0,1
78,79,1,0,2,29.0,1,True,0.83,1,0,1,0,1,1
79,80,1,0,0,12.475,1,True,30.0,0,0,1,0,0,1
80,81,0,0,0,9.0,1,True,22.0,1,0,1,0,0,1
81,82,1,0,0,9.5,1,True,29.0,1,0,1,0,0,1
82,83,1,0,0,7.7875,1,False,-1.0,0,1,0,0,0,1
83,84,0,0,0,47.1,1,True,28.0,1,0,1,1,0,1
84,85,1,0,0,10.5,1,True,17.0,0,0,1,0,1,0
85,86,1,3,0,15.85,1,True,33.0,0,0,1,0,0,1
86,87,0,1,3,34.375,1,True,16.0,1,0,1,0,0,0
87,88,0,0,0,8.05,1,False,-1.0,1,0,1,0,0,0
88,89,1,3,2,263.0,0,True,23.0,0,0,1,1,0,1
89,90,0,0,0,8.05,1,True,24.0,1,0,1,0,0,1
90,91,0,0,0,8.05,1,True,29.0,1,0,1,0,0,1
91,92,0,0,0,7.8542,1,True,20.0,1,0,1,0,0,1
92,93,0,1,0,61.175,0,True,46.0,1,0,1,1,0,0
93,94,0,1,2,20.575,1,True,26.0,1,0,1,0,0,0
94,95,0,0,0,7.25,1,True,59.0,1,0,1,0,0,1
95,96,0,0,0,8.05,1,False,-1.0,1,0,1,0,0,1
96,97,0,0,0,34.6542,0,True,71.0,1,0,0,1,0,0
97,98,1,0,1,63.3583,0,True,23.0,1,0,0,1,0,0
98,99,1,0,1,23.0,1,True,34.0,0,0,1,0,1,1
99,100,0,1,0,26.0,1,True,34.0,1,0,1,0,1,1
100,101,0,0,0,7.8958,1,True,28.0,0,0,1,0,0,1
101,102,0,0,0,7.8958,1,False,-1.0,1,0,1,0,0,1
102,103,0,0,1,77.2875,0,True,21.0,1,0,1,1,0,1
103,104,0,0,0,8.6542,1,True,33.0,1,0,1,0,0,1
104,105,0,2,0,7.925,1,True,37.0,1,0,1,0,0,1
105,106,0,0,0,7.8958,1,True,28.0,1,0,1,0,0,1
106,107,1,0,0,7.65,1,True,21.0,0,0,1,0,0,1
107,108,1,0,0,7.775,1,False,-1.0,1,0,1,0,0,1
108,109,0,0,0,7.8958,1,True,38.0,1,0,1,0,0,1
109,110,1,1,0,24.15,1,False,-1.0,0,1,0,0,0,1
110,111,0,0,0,52.0,0,True,47.0,1,0,1,1,0,1
111,112,0,1,0,14.4542,1,True,14.5,0,0,0,0,0,1
112,113,0,0,0,8.05,1,True,22.0,1,0,1,0,0,1
113,114,0,1,0,9.825,1,True,20.0,0,0,1,0,0,1
114,115,0,0,0,14.4583,1,True,17.0,0,0,0,0,0,1
115,116,0,0,0,7.925,1,True,21.0,1,0,1,0,0,0
116,117,0,0,0,7.75,1,True,70.5,1,1,0,0,0,1
117,118,0,1,0,21.0,1,True,29.0,1,0,1,0,1,1
118,119,0,0,1,247.5208,0,True,24.0,1,0,0,1,0,0
119,120,0,4,2,31.275,1,True,2.0,0,0,1,0,0,1
120,121,0,2,0,73.5,1,True,21.0,1,0,1,0,1,0
121,122,0,0,0,8.05,1,False,-1.0,1,0,1,0,0,0
122,123,0,1,0,30.0708,1,True,32.5,1,0,0,0,1,1
123,124,1,0,0,13.0,0,True,32.5,0,0,1,0,1,1
124,125,0,0,1,77.2875,0,True,54.0,1,0,1,1,0,1
125,126,1,1,0,11.2417,1,True,12.0,1,0,0,0,0,1
126,127,0,0,0,7.75,1,False,-1.0,1,1,0,0,0,1
127,128,1,0,0,7.1417,1,True,24.0,1,0,1,0,0,0
128,129,1,1,1,22.3583,0,False,-1.0,0,0,0,0,0,1
129,130,0,0,0,6.975,1,True,45.0,1,0,1,0,0,1
130,131,0,0,0,7.8958,1,True,33.0,1,0,0,0,0,1
131,132,0,0,0,7.05,1,True,20.0,1,0,1,0,0,0
132,133,0,1,0,14.5,1,True,47.0,0,0,1,0,0,0
133,134,1,1,0,26.0,1,True,29.0,0,0,1,0,1,1
134,135,0,0,0,13.0,1,True,25.0,1,0,1,0,1,0
135,136,0,0,0,15.0458,1,True,23.0,1,0,0,0,1,0
136,137,1,0,2,26.2833,0,True,19.0,0,0,1,1,0,1
137,138,0,1,0,53.1,0,True,37.0,1,0,1,1,0,1
138,139,0,0,0,9.2167,1,True,16.0,1,0,1,0,0,1
139,140,0,0,0,79.2,0,True,24.0,1,0,0,1,0,0
140,141,0,0,2,15.2458,1,False,-1.0,0,0,0,0,0,1
141,142,1,0,0,7.75,1,True,22.0,0,0,1,0,0,1
142,143,1,1,0,15.85,1,True,24.0,0,0,1,0,0,0
143,144,0,0,0,6.75,1,True,19.0,1,1,0,0,0,1
144,145,0,0,0,11.5,1,True,18.0,1,0,1,0,1,1
145,146,0,1,1,36.75,1,True,19.0,1,0,1,0,1,0
146,147,1,0,0,7.7958,1,True,27.0,1,0,1,0,0,1
147,148,0,2,2,34.375,1,True,9.0,0,0,1,0,0,0
148,149,0,0,2,26.0,0,True,36.5,1,0,1,0,1,1
149,150,0,0,0,13.0,1,True,42.0,1,0,1,0,1,1
150,151,0,0,0,12.525,1,True,51.0,1,0,1,0,1,0
151,152,1,1,0,66.6,0,True,22.0,0,0,1,1,0,1
152,153,0,0,0,8.05,1,True,55.5,1,0,1,0,0,0
153,154,0,0,2,14.5,1,True,40.5,1,0,1,0,0,0
154,155,0,0,0,7.3125,1,False,-1.0,1,0,1,0,0,0
155,156,0,0,1,61.3792,1,True,51.0,1,0,0,1,0,0
156,157,1,0,0,7.7333,1,True,16.0,0,1,0,0,0,1
157,158,0,0,0,8.05,1,True,30.0,1,0,1,0,0,0
158,159,0,0,0,8.6625,1,False,-1.0,1,0,1,0,0,1
159,160,0,8,2,69.55,1,False,-1.0,1,0,1,0,0,0
160,161,0,0,1,16.1,1,True,44.0,1,0,1,0,0,1
161,162,1,0,0,15.75,1,True,40.0,0,0,1,0,1,0
162,163,0,0,0,7.775,1,True,26.0,1,0,1,0,0,1
163,164,0,0,0,8.6625,1,True,17.0,1,0,1,0,0,1
164,165,0,4,1,39.6875,1,True,1.0,1,0,1,0,0,1
165,166,1,0,2,20.525,1,True,9.0,1,0,1,0,0,1
166,167,1,0,1,55.0,0,False,-1.0,0,0,1,1,0,1
167,168,0,1,4,27.9,1,True,45.0,0,0,1,0,0,1
168,169,0,0,0,25.925,1,False,-1.0,1,0,1,1,0,0
169,170,0,0,0,56.4958,1,True,28.0,1,0,1,0,0,1
170,171,0,0,0,33.5,0,True,61.0,1,0,1,1,0,1
171,172,0,4,1,29.125,1,True,4.0,1,1,0,0,0,1
172,173,1,1,1,11.1333,1,True,1.0,0,0,1,0,0,1
173,174,0,0,0,7.925,1,True,21.0,1,0,1,0,0,0
174,175,0,0,0,30.6958,0,True,56.0,1,0,0,1,0,1
175,176,0,1,1,7.8542,1,True,18.0,1,0,1,0,0,1
176,177,0,3,1,25.4667,1,False,-1.0,1,0,1,0,0,1
177,178,0,0,0,28.7125,0,True,50.0,0,0,0,1,0,0
178,179,0,0,0,13.0,1,True,30.0,1,0,1,0,1,1
179,180,0,0,0,0.0,1,True,36.0,1,0,1,0,0,0
180,181,0,8,2,69.55,1,False,-1.0,0,0,1,0,0,0
181,182,0,0,0,15.05,1,False,-1.0,1,0,0,0,1,0
182,183,0,4,2,31.3875,1,True,9.0,1,0,1,0,0,1
183,184,1,2,1,39.0,0,True,1.0,1,0,1,0,1,1
184,185,1,0,2,22.025,1,True,4.0,0,0,1,0,0,1
185,186,0,0,0,50.0,0,False,-1.0,1,0,1,1,0,1
186,187,1,1,0,15.5,1,False,-1.0,0,1,0,0,0,1
187,188,1,0,0,26.55,1,True,45.0,1,0,1,1,0,1
188,189,0,1,1,15.5,1,True,40.0,1,1,0,0,0,1
189,190,0,0,0,7.8958,1,True,36.0,1,0,1,0,0,1
190,191,1,0,0,13.0,1,True,32.0,0,0,1,0,1,1
191,192,0,0,0,13.0,1,True,19.0,1,0,1,0,1,1
192,193,1,1,0,7.8542,1,True,19.0,0,0,1,0,0,1
193,194,1,1,1,26.0,0,True,3.0,1,0,1,0,1,1
194,195,1,0,0,27.7208,0,True,44.0,0,0,0,1,0,0
195,196,1,0,0,146.5208,0,True,58.0,0,0,0,1,0,0
196,197,0,0,0,7.75,1,False,-1.0,1,1,0,0,0,1
197,198,0,0,1,8.4042,1,True,42.0,1,0,1,0,0,1
198,199,1,0,0,7.75,1,False,-1.0,0,1,0,0,0,1
199,200,0,0,0,13.0,1,True,24.0,0,0,1,0,1,1
200,201,0,0,0,9.5,1,True,28.0,1,0,1,0,0,1
201,202,0,8,2,69.55,1,False,-1.0,1,0,1,0,0,0
202,203,0,0,0,6.4958,1,True,34.0,1,0,1,0,0,1
203,204,0,0,0,7.225,1,True,45.5,1,0,0,0,0,1
204,205,1,0,0,8.05,1,True,18.0,1,0,1,0,0,0
205,206,0,0,1,10.4625,0,True,2.0,0,0,1,0,0,1
206,207,0,1,0,15.85,1,True,32.0,1,0,1,0,0,1
207,208,1,0,0,18.7875,1,True,26.0,1,0,0,0,0,1
208,209,1,0,0,7.75,1,True,16.0,0,1,0,0,0,1
209,210,1,0,0,31.0,0,True,40.0,1,0,0,1,0,1
210,211,0,0,0,7.05,1,True,24.0,1,0,1,0,0,0
211,212,1,0,0,21.0,1,True,35.0,0,0,1,0,1,0
212,213,0,0,0,7.25,1,True,22.0,1,0,1,0,0,0
213,214,0,0,0,13.0,1,True,30.0,1,0,1,0,1,1
214,215,0,1,0,7.75,1,False,-1.0,1,1,0,0,0,1
215,216,1,1,0,113.275,0,True,31.0,0,0,0,1,0,1
216,217,1,0,0,7.925,1,True,27.0,0,0,1,0,0,0
217,218,0,1,0,27.0,1,True,42.0,1,0,1,0,1,1
218,219,1,0,0,76.2917,0,True,32.0,0,0,0,1,0,1
219,220,0,0,0,10.5,1,True,30.0,1,0,1,0,1,0
220,221,1,0,0,8.05,1,True,16.0,1,0,1,0,0,0
221,222,0,0,0,13.0,1,True,27.0,1,0,1,0,1,1
222,223,0,0,0,8.05,1,True,51.0,1,0,1,0,0,1
223,224,0,0,0,7.8958,1,False,-1.0,1,0,1,0,0,1
224,225,1,1,0,90.0,0,True,38.0,1,0,1,1,0,1
225,226,0,0,0,9.35,1,True,22.0,1,0,1,0,0,0
226,227,1,0,0,10.5,1,True,19.0,1,0,1,0,1,0
227,228,0,0,0,7.25,1,True,20.5,1,0,1,0,0,0
228,229,0,0,0,13.0,1,True,18.0,1,0,1,0,1,1
229,230,0,3,1,25.4667,1,False,-1.0,0,0,1,0,0,1
230,231,1,1,0,83.475,0,True,35.0,0,0,1,1,0,1
231,232,0,0,0,7.775,1,True,29.0,1,0,1,0,0,1
232,233,0,0,0,13.5,1,True,59.0,1,0,1,0,1,1
233,234,1,4,2,31.3875,1,True,5.0,0,0,1,0,0,1
234,235,0,0,0,10.5,1,True,24.0,1,0,1,0,1,0
235,236,0,0,0,7.55,1,False,-1.0,0,0,1,0,0,0
236,237,0,1,0,26.0,1,True,44.0,1,0,1,0,1,1
237,238,1,0,2,26.25,1,True,8.0,0,0,1,0,1,0
238,239,0,0,0,10.5,1,True,19.0,1,0,1,0,1,1
239,240,0,0,0,12.275,1,True,33.0,1,0,1,0,1,0
240,241,0,1,0,14.4542,1,False,-1.0,0,0,0,0,0,1
241,242,1,1,0,15.5,1,False,-1.0,0,1,0,0,0,1
242,243,0,0,0,10.5,1,True,29.0,1,0,1,0,1,0
243,244,0,0,0,7.125,1,True,22.0,1,0,1,0,0,0
244,245,0,0,0,7.225,1,True,30.0,1,0,0,0,0,1
245,246,0,2,0,90.0,0,True,44.0,1,1,0,1,0,1
246,247,0,0,0,7.775,1,True,25.0,0,0,1,0,0,1
247,248,1,0,2,14.5,1,True,24.0,0,0,1,0,1,1
248,249,1,1,1,52.5542,0,True,37.0,1,0,1,1,0,1
249,250,0,1,0,26.0,1,True,54.0,1,0,1,0,1,1
250,251,0,0,0,7.25,1,False,-1.0,1,0,1,0,0,1
251,252,0,1,1,10.4625,0,True,29.0,0,0,1,0,0,1
252,253,0,0,0,26.55,0,True,62.0,1,0,1,1,0,1
253,254,0,1,0,16.1,1,True,30.0,1,0,1,0,0,0
254,255,0,0,2,20.2125,1,True,41.0,0,0,1,0,0,1
255,256,1,0,2,15.2458,1,True,29.0,0,0,0,0,0,1
256,257,1,0,0,79.2,1,False,-1.0,0,0,0,1,0,0
257,258,1,0,0,86.5,0,True,30.0,0,0,1,1,0,1
258,259,1,0,0,512.3292,1,True,35.0,0,0,0,1,0,0
259,260,1,0,1,26.0,1,True,50.0,0,0,1,0,1,1
260,261,0,0,0,7.75,1,False,-1.0,1,1,0,0,0,1
261,262,1,4,2,31.3875,1,True,3.0,1,0,1,0,0,1
262,263,0,1,1,79.65,0,True,52.0,1,0,1,1,0,1
263,264,0,0,0,0.0,0,True,40.0,1,0,1,1,0,1
264,265,0,0,0,7.75,1,False,-1.0,0,1,0,0,0,1
265,266,0,0,0,10.5,1,True,36.0,1,0,1,0,1,0
266,267,0,4,1,39.6875,1,True,16.0,1,0,1,0,0,1
267,268,1,1,0,7.775,1,True,25.0,1,0,1,0,0,1
268,269,1,0,1,153.4625,0,True,58.0,0,0,1,1,0,0
269,270,1,0,0,135.6333,0,True,35.0,0,0,1,1,0,0
270,271,0,0,0,31.0,1,False,-1.0,1,0,1,1,0,1
271,272,1,0,0,0.0,1,True,25.0,1,0,1,0,0,0
272,273,1,0,1,19.5,1,True,41.0,0,0,1,0,1,1
273,274,0,0,1,29.7,0,True,37.0,1,0,0,1,0,0
274,275,1,0,0,7.75,1,False,-1.0,0,1,0,0,0,1
275,276,1,1,0,77.9583,0,True,63.0,0,0,1,1,0,1
276,277,0,0,0,7.75,1,True,45.0,0,0,1,0,0,1
277,278,0,0,0,0.0,1,False,-1.0,1,0,1,0,1,1
278,279,0,4,1,29.125,1,True,7.0,1,1,0,0,0,1
279,280,1,1,1,20.25,1,True,35.0,0,0,1,0,0,0
280,281,0,0,0,7.75,1,True,65.0,1,1,0,0,0,1
281,282,0,0,0,7.8542,1,True,28.0,1,0,1,0,0,1
282,283,0,0,0,9.5,1,True,16.0,1,0,1,0,0,1
283,284,1,0,0,8.05,1,True,19.0,1,0,1,0,0,0
284,285,0,0,0,26.0,0,False,-1.0,1,0,1,1,0,1
285,286,0,0,0,8.6625,1,True,33.0,1,0,0,0,0,1
286,287,1,0,0,9.5,1,True,30.0,1,0,1,0,0,1
287,288,0,0,0,7.8958,1,True,22.0,1,0,1,0,0,1
288,289,1,0,0,13.0,1,True,42.0,1,0,1,0,1,1
289,290,1,0,0,7.75,1,True,22.0,0,1,0,0,0,1
290,291,1,0,0,78.85,1,True,26.0,0,0,1,1,0,1
291,292,1,1,0,91.0792,0,True,19.0,0,0,0,1,0,1
292,293,0,0,0,12.875,0,True,36.0,1,0,0,0,1,0
293,294,0,0,0,8.85,1,True,24.0,0,0,1,0,0,1
294,295,0,0,0,7.8958,1,True,24.0,1,0,1,0,0,1
295,296,0,0,0,27.7208,1,False,-1.0,1,0,0,1,0,0
296,297,0,0,0,7.2292,1,True,23.5,1,0,0,0,0,1
297,298,0,1,2,151.55,0,True,2.0,0,0,1,1,0,1
298,299,1,0,0,30.5,0,False,-1.0,1,0,1,1,0,1
299,300,1,0,1,247.5208,0,True,50.0,0,0,0,1,0,0
300,301,1,0,0,7.75,1,False,-1.0,0,1,0,0,0,1
301,302,1,2,0,23.25,1,False,-1.0,1,1,0,0,0,1
302,303,0,0,0,0.0,1,True,19.0,1,0,1,0,0,0
303,304,1,0,0,12.35,0,False,-1.0,0,1,0,0,1,1
304,305,0,0,0,8.05,1,False,-1.0,1,0,1,0,0,0
305,306,1,1,2,151.55,0,True,0.92,1,0,1,1,0,1
306,307,1,0,0,110.8833,1,False,-1.0,0,0,0,1,0,1
307,308,1,1,0,108.9,0,True,17.0,0,0,0,1,0,0
308,309,0,1,0,24.0,1,True,30.0,1,0,0,0,1,0
309,310,1,0,0,56.9292,0,True,30.0,0,0,0,1,0,0
310,311,1,0,0,83.1583,0,True,24.0,0,0,0,1,0,1
311,312,1,2,2,262.375,0,True,18.0,0,0,0,1,0,0
312,313,0,1,1,26.0,1,True,26.0,0,0,1,0,1,1
313,314,0,0,0,7.8958,1,True,28.0,1,0,1,0,0,1
314,315,0,1,1,26.25,1,True,43.0,1,0,1,0,1,0
315,316,1,0,0,7.8542,1,True,26.0,0,0,1,0,0,1
316,317,1,1,0,26.0,1,True,24.0,0,0,1,0,1,1
317,318,0,0,0,14.0,1,True,54.0,1,0,1,0,1,1
318,319,1,0,2,164.8667,0,True,31.0,0,0,1,1,0,1
319,320,1,1,1,134.5,0,True,40.0,0,0,0,1,0,1
320,321,0,0,0,7.25,1,True,22.0,1,0,1,0,0,0
321,322,0,0,0,7.8958,1,True,27.0,1,0,1,0,0,1
322,323,1,0,0,12.35,1,True,30.0,0,1,0,0,1,1
323,324,1,1,1,29.0,1,True,22.0,0,0,1,0,1,1
324,325,0,8,2,69.55,1,False,-1.0,1,0,1,0,0,0
325,326,1,0,0,135.6333,0,True,36.0,0,0,0,1,0,0
326,327,0,0,0,6.2375,1,True,61.0,1,0,1,0,0,1
327,328,1,0,0,13.0,0,True,36.0,0,0,1,0,1,1
328,329,1,1,1,20.525,1,True,31.0,0,0,1,0,0,1
329,330,1,0,1,57.9792,0,True,16.0,0,0,0,1,0,1
330,331,1,2,0,23.25,1,False,-1.0,0,1,0,0,0,1
331,332,0,0,0,28.5,0,True,45.5,1,0,1,1,0,1
332,333,0,0,1,153.4625,0,True,38.0,1,0,1,1,0,0
333,334,0,2,0,18.0,1,True,16.0,1,0,1,0,0,1
334,335,1,1,0,133.65,1,False,-1.0,0,0,1,1,0,0
335,336,0,0,0,7.8958,1,False,-1.0,1,0,1,0,0,1
336,337,0,1,0,66.6,0,True,29.0,1,0,1,1,0,1
337,338,1,0,0,134.5,0,True,41.0,0,0,0,1,0,1
338,339,1,0,0,8.05,1,True,45.0,1,0,1,0,0,1
339,340,0,0,0,35.5,0,True,45.0,1,0,1,1,0,1
340,341,1,1,1,26.0,0,True,2.0,1,0,1,0,1,1
341,342,1,3,2,263.0,0,True,24.0,0,0,1,1,0,1
342,343,0,0,0,13.0,1,True,28.0,1,0,1,0,1,1
343,344,0,0,0,13.0,1,True,25.0,1,0,1,0,1,1
344,345,0,0,0,13.0,1,True,36.0,1,0,1,0,1,1
345,346,1,0,0,13.0,0,True,24.0,0,0,1,0,1,1
346,347,1,0,0,13.0,1,True,40.0,0,0,1,0,1,1
347,348,1,1,0,16.1,1,False,-1.0,0,0,1,0,0,1
348,349,1,1,1,15.9,1,True,3.0,1,0,1,0,0,0
349,350,0,0,0,8.6625,1,True,42.0,1,0,1,0,0,1
350,351,0,0,0,9.225,1,True,23.0,1,0,1,0,0,1
351,352,0,0,0,35.0,0,False,-1.0,1,0,1,1,0,1
352,353,0,1,1,7.2292,1,True,15.0,1,0,0,0,0,1
353,354,0,1,0,17.8,1,True,25.0,1,0,1,0,0,1
354,355,0,0,0,7.225,1,False,-1.0,1,0,0,0,0,1
355,356,0,0,0,9.5,1,True,28.0,1,0,1,0,0,1
356,357,1,0,1,55.0,0,True,22.0,0,0,1,1,0,1
357,358,0,0,0,13.0,1,True,38.0,0,0,1,0,1,1
358,359,1,0,0,7.8792,1,False,-1.0,0,1,0,0,0,1
359,360,1,0,0,7.8792,1,False,-1.0,0,1,0,0,0,1
360,361,0,1,4,27.9,1,True,40.0,1,0,1,0,0,1
361,362,0,1,0,27.7208,1,True,29.0,1,0,0,0,1,0
362,363,0,0,1,14.4542,1,True,45.0,0,0,0,0,0,1
363,364,0,0,0,7.05,1,True,35.0,1,0,1,0,0,0
364,365,0,1,0,15.5,1,False,-1.0,1,1,0,0,0,1
365,366,0,0,0,7.25,1,True,30.0,1,0,1,0,0,0
366,367,1,1,0,75.25,0,True,60.0,0,0,0,1,0,1
367,368,1,0,0,7.2292,1,False,-1.0,0,0,0,0,0,1
368,369,1,0,0,7.75,1,False,-1.0,0,1,0,0,0,1
369,370,1,0,0,69.3,0,True,24.0,0,0,0,1,0,0
370,371,1,1,0,55.4417,0,True,25.0,1,0,0,1,0,1
371,372,0,1,0,6.4958,1,True,18.0,1,0,1,0,0,1
372,373,0,0,0,8.05,1,True,19.0,1,0,1,0,0,1
373,374,0,0,0,135.6333,1,True,22.0,1,0,0,1,0,0
374,375,0,3,1,21.075,1,True,3.0,0,0,1,0,0,1
375,376,1,1,0,82.1708,1,False,-1.0,0,0,0,1,0,0
376,377,1,0,0,7.25,1,True,22.0,0,0,1,0,0,0
377,378,0,0,2,211.5,0,True,27.0,1,0,0,1,0,1
378,379,0,0,0,4.0125,1,True,20.0,1,0,0,0,0,1
379,380,0,0,0,7.775,1,True,19.0,1,0,1,0,0,1
380,381,1,0,0,227.525,1,True,42.0,0,0,0,1,0,0
381,382,1,0,2,15.7417,1,True,1.0,0,0,0,0,0,1
382,383,0,0,0,7.925,1,True,32.0,1,0,1,0,0,0
383,384,1,1,0,52.0,1,True,35.0,0,0,1,1,0,1
384,385,0,0,0,7.8958,1,False,-1.0,1,0,1,0,0,1
385,386,0,0,0,73.5,1,True,18.0,1,0,1,0,1,0
386,387,0,5,2,46.9,1,True,1.0,1,0,1,0,0,0
387,388,1,0,0,13.0,1,True,36.0,0,0,1,0,1,1
388,389,0,0,0,7.7292,1,False,-1.0,1,1,0,0,0,1
389,390,1,0,0,12.0,1,True,17.0,0,0,0,0,1,0
390,391,1,1,2,120.0,0,True,36.0,1,0,1,1,0,1
391,392,1,0,0,7.7958,1,True,21.0,1,0,1,0,0,1
392,393,0,2,0,7.925,1,True,28.0,1,0,1,0,0,1
393,394,1,1,0,113.275,0,True,23.0,0,0,0,1,0,1
394,395,1,0,2,16.7,0,True,24.0,0,0,1,0,0,0
395,396,0,0,0,7.7958,1,True,22.0,1,0,1,0,0,1
396,397,0,0,0,7.8542,1,True,31.0,0,0,1,0,0,1
397,398,0,0,0,26.0,1,True,46.0,1,0,1,0,1,1
398,399,0,0,0,10.5,1,True,23.0,1,0,1,0,1,1
399,400,1,0,0,12.65,1,True,28.0,0,0,1,0,1,1
400,401,1,0,0,7.925,1,True,39.0,1,0,1,0,0,0
